db_latin_name,vb_normalized,vb_example_names
Achillea millefolium,Achillea millefolium,Achillea m. 'Sassy Summer Sunset' | Achillea m. 'Strawberry Seduction' | Achillea millefolium LE
Actaea simplex,Actaea simplex,Actaea simplex 'James Compton' | Actaea simplex 'Black Negligee' | Actaea simplex 'Brunette'
Adiantum pedatum,Adiantum pedatum,Adiantum pedatum
Agastache rugosa,Agastache rugosa,Agastache rugosa 'Little Adder'
Ageratina altissima,Ageratina altissima,Ageratina altissima LE | Ageratina altissima 'Chocolate'
Ajuga reptans,Ajuga reptans,Ajuga reptans 'Black Scallop' | Ajuga reptans 'Burgundy Glow' | Ajuga reptans 'Chocolate Chip'
Alchemilla mollis,Alchemilla mollis,Alchemilla mollis
Allium cernuum,Allium cernuum,Allium cernuum
Amsonia hubrichtii,Amsonia hubrichtii,Amsonia hubrichtii
Anaphalis margaritacea,Anaphalis margaritacea,Anaphalis margaritacea LE
Angelica atropurpurea,Angelica atropurpurea,Angelica atropurpurea
Angelica gigas,Angelica gigas,Angelica gigas
Aquilegia canadensis,Aquilegia canadensis,Aquilegia canadensis LE
Aralia racemosa,Aralia racemosa,Aralia racemosa LE
Asarum canadense,Asarum canadense,Asarum canadense
Asarum europaeum,Asarum europaeum,Asarum europaeum
Asclepias incarnata,Asclepias incarnata,Asclepias incarnata 'Ice Ballet' | Asclepias incarnata LE
Asclepias tuberosa,Asclepias tuberosa,Asclepias tuberosa 'Hello Yellow'
Aster tataricus,Aster tataricus,Aster tataricus 'Jindai'
Astrantia major,Astrantia major,Astrantia major 'Roma' | Astrantia major 'Snow Star'
Athyrium filix-femina,Athyrium filix-femina,Athyrium filix-femina 'Lady in Red' | Athyrium filix-femina
Baptisia australis,Baptisia australis,Baptisia australis
Boltonia asteroides,Boltonia asteroides,Boltonia asteroides 'Snowbank'
Brunnera macrophylla,Brunnera macrophylla,Brunnera macrophylla 'Jack Frost' | Brunnera macrophylla
Callirhoe involucrata,Callirhoe involucrata,Callirhoe involucrata
Caltha palustris,Caltha palustris,Caltha palustris
Camassia leichtlinii,Camassia leichtlinii,Camassia leichtlinii 'Blue Danube'
Campanula carpatica,Campanula carpatica,Campanula carpatica 'Rapido Blue' | Campanula carpatica 'White Pearl'
Campanula persicifolia,Campanula persicifolia,Campanula persicifolia 'Telham Beauty'
Carex appalachica,Carex appalachica,Carex appalachica
Carex laxiculmis,Carex laxiculmis,Carex laxiculmis 'Bunny Blue'
Chamerion angustifolium,Chamerion angustifolium,Chamerion angustifolium LE
Chasmanthium latifolium,Chasmanthium latifolium,Chasmanthium latifolium
Cheilanthes lanosa,Cheilanthes lanosa,Cheilanthes lanosa
Chelone lyonii,Chelone lyonii,Chelone lyonii 'Hot Lips'
Chrysogonum virginianum,Chrysogonum virginianum,Chrysogonum virginianum 'Superstar'
Clematis virginiana,Clematis virginiana,Clematis virginiana LE
Comptonia peregrina,Comptonia peregrina,Comptonia peregrina
Convallaria majalis,Convallaria majalis,Convallaria majalis | Convallaria majalis 'Prolificans'
Coreopsis tripteris,Coreopsis tripteris,Coreopsis tripteris 'Gold Standard'
Coreopsis verticillata,Coreopsis verticillata,Coreopsis verticillata 'Zagreb'
Corydalis lutea,Corydalis lutea,Corydalis lutea
Cystopteris bulbifera,Cystopteris bulbifera,Cystopteris bulbifera
Dalea purpurea,Dalea purpurea,Dalea purpurea
Dennstaedtia punctilobula,Dennstaedtia punctilobula,Dennstaedtia punctilobula
Deschampsia cespitosa,Deschampsia cespitosa,Deschampsia cespitosa
Deschampsia flexuosa,Deschampsia flexuosa,Deschampsia flexuosa
Digitalis purpurea,Digitalis purpurea,Digitalis purpurea 'Excelsior Hybrids' | Digitalis purpurea 'Snow Thimble'
Dodecatheon meadia,Dodecatheon meadia,Dodecatheon meadia
Doellingeria umbellata,Doellingeria umbellata,Doellingeria umbellata LE
Dryopteris erythrosora,Dryopteris erythrosora,Dryopteris erythrosora 'Brilliance'
Dryopteris filix-mas,Dryopteris filix-mas,Dryopteris filix-mas
Dryopteris marginalis,Dryopteris marginalis,Dryopteris marginalis
Echinacea purpurea,Echinacea purpurea,Echinacea p. 'Flame Thrower' | Echinacea p. 'Green Twister' | Echinacea p. 'Magnus'
Echinops ritro,Echinops ritro,Echinops ritro
