Complete Availability,,,,,,,,,,
"WEEK OF SEPTEMBER 14, 2026",,,,,,,,,,
QTY,Plant Name,Size,Price 1,Price 2,Avail,Next Date,Ratings,,,
,Achillea 'Coronation Gold',#1,6.29,7.38,783,,Retail Foliage,,,
,Achillea 'Moonshine',#1,6.29,7.38,168,,Small Looks Good,,,
,Achillea Tutti Frutti™ 'Pomegranate',#1,6.29,7.38,439,,Retail Foliage,,,
,Achillea m. 'Little Moonshine',#1,6.29,7.38,88,,Retail Foliage,,,
,Achillea m. 'Pretty Belinda',#1,6.29,7.38,124,,Retail Foliage,,,
,Achillea m. 'Sassy Summer Sunset',#1,6.29,7.38,607,,Retail Foliage,,,
,Achillea m. 'Strawberry Seduction',#1,6.29,7.38,41,,Cut Back,,,
,Achillea Tutti Frutti™ 'Apricot Delight',#1,6.29,7.38,289,,Retail Foliage,,,
X,Achillea millefolium LE,#1,7.59,9.00,0,Sep 28,,,,
,Achillea millefolium LE,TRAY 50,77.50,77.50,47,,Ready,,,
,Aconitum c. 'Arendsii',#1,7.59,9.00,127,,Leafing Out,,,
,Aconitum napellus,#1,7.59,9.00,166,,Leafing Out,,,
,Actaea 'Chocoholic',TRGA,10.50,12.53,146,,Fair Foliage,,,
,Actaea simplex 'James Compton',TRGA,11.65,13.83,800,,Small Looks Good,,,
,Actaea simplex 'Brunette',TRGA,10.50,12.53,205,,Small Looks Good,,,
,Actaea simplex 'Hillside Black Beauty',TRGA,10.50,12.53,97,,Small Looks Good,,,
,Actaea 'Queen of Sheba',TRGA,11.65,13.83,466,,Budded,,,
,Actaea japonica 'Cheju-do ',#1,8.68,10.30,161,,Bud & Bloom,,,
,Agastache 'Blue Boa',TRGA,8.32,9.93,235,Sep 28,Cut Back,,,
X,Agastache 'Blue Fortune',TRGA,7.28,8.68,0,Sep 21,,,,
,Agastache rugosa 'Little Adder',#1,6.29,7.38,157,,Cut Back,,,
,Agastache 'Rosie Posie',#1,6.29,7.38,205,,Cut Back,,,
,Agastache foeniculum,#1,6.29,7.38,562,,Cut Back,,,
,Ageratina altissima LE,#1,7.59,9.00,173,Sep 28,Leafing Out,,,
,Ageratina altissima LE,TRAY 50,85.00,85.00,41,,Ready,,,
,Ajuga tenorii 'Princess Nadia',1QT,4.11,4.84,12,,Retail Foliage,,,
,Alcea rosea 'Blacknight',#1,7.59,9.00,67,,Cut Back,,,
,Alcea ficifolia 'Las Vegas',#1,7.59,9.00,44,,Retail Foliage,,,
,Alchemilla alpina,2QT,6.08,7.12,199,Oct 5,Small Looks Good,,,
,Alchemilla erythropoda,2QT,6.08,7.12,227,Oct 5,Retail Foliage,,,
